"Top Level Domain","U-Label","Translation","Agreement Type","Operator","Agreement Status","Agreement Date","Link"
"intuit",,,"Base, Brand (Spec 13), Non-Sponsored","Intuit Administrative Services, Inc.","active","30 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/intuit"
"investments",,,"Base, Non-Sponsored","Binky Moon, LLC","active","20 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/investments"
"ipiranga",,,"Base, Brand (Spec 13), Non-Sponsored","Ipiranga Produtos de Petroleo S.A.","active","28 Aug 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/ipiranga"
"irish",,,"Base, Non-Sponsored","Binky Moon, LLC","active","7 Aug 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/irish"
"iselect",,,"Base, Brand (Spec 13), Non-Sponsored","iSelect Ltd","terminated","11 Feb 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/iselect"
"ismaili",,,"Base, Community (Spec 12), Non-Sponsored","Fondation Aga Khan (Aga Khan Foundation)","active","6 Aug 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/ismaili"
"ist",,,"Base, Non-Sponsored","Istanbul Metropolitan Municipality","active","28 Aug 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/ist"
"istanbul",,,"Base, Non-Sponsored","Istanbul Metropolitan Municipality","active","28 Aug 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/istanbul"
"itau",,,"Base, Brand (Spec 13), Non-Sponsored","Itau Unibanco Holding S.A.","active","2 Oct 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/itau"
"itv",,,"Base, Brand (Spec 13), Non-Sponsored","ITV Services Limited","active","9 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/itv"
"iveco",,,"Base, Brand (Spec 13), Non-Sponsored","CNH Industrial N.V.","terminated","3 Sep 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/iveco"
"iwc",,,"Base, Brand (Spec 13), Non-Sponsored","Richemont DNS Inc.","terminated","23 Jun 2014","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/iwc"
